Date,Open,High,Low,Close,Adj Close,Volume
2021-05-28,2390.58,2390.58,2390.58,2390.58,2390.58,10000000000
2021-06-04,2397.24,2397.24,2397.24,2397.24,2397.24,10000000000
2021-06-11,2409.13,2409.13,2409.13,2409.13,2409.13,10000000000
2021-06-18,2407.36,2407.36,2407.36,2407.36,2407.36,10000000000
2021-06-25,2416.19,2416.19,2416.19,2416.19,2416.19,10000000000
2021-07-02,2427.4,2427.4,2427.4,2427.4,2427.4,10000000000
2021-07-09,2432.35,2432.35,2432.35,2432.35,2432.35,10000000000
2021-07-16,2428.71,2428.71,2428.71,2428.71,2428.71,10000000000
2021-07-23,2430.35,2430.35,2430.35,2430.35,2430.35,10000000000
2021-07-30,2431.83,2431.83,2431.83,2431.83,2431.83,10000000000
2021-08-06,2427.17,2427.17,2427.17,2427.17,2427.17,10000000000
2021-08-13,2423.36,2423.36,2423.36,2423.36,2423.36,10000000000
2021-08-20,2421.97,2421.97,2421.97,2421.97,2421.97,10000000000
2021-08-27,2438.86,2438.86,2438.86,2438.86,2438.86,10000000000
2021-09-03,2448.93,2448.93,2448.93,2448.93,2448.93,10000000000
2021-09-10,2451.56,2451.56,2451.56,2451.56,2451.56,10000000000
2021-09-17,2455.11,2455.11,2455.11,2455.11,2455.11,10000000000
2021-09-24,2451.83,2451.83,2451.83,2451.83,2451.83,10000000000
2021-10-01,2444.11,2444.11,2444.11,2444.11,2444.11,10000000000
2021-10-08,2436.06,2436.06,2436.06,2436.06,2436.06,10000000000
2021-10-15,2439.64,2439.64,2439.64,2439.64,2439.64,10000000000
2021-10-22,2437.76,2437.76,2437.76,2437.76,2437.76,10000000000
2021-10-29,2439.87,2439.87,2439.87,2439.87,2439.87,10000000000
2021-11-05,2454.84,2454.84,2454.84,2454.84,2454.84,10000000000
2021-11-12,2448.61,2448.61,2448.61,2448.61,2448.61,10000000000
2021-11-19,2439.33,2439.33,2439.33,2439.33,2439.33,10000000000
2021-11-26,2410.75,2410.75,2410.75,2410.75,2410.75,10000000000
2021-12-03,2425.99,2425.99,2425.99,2425.99,2425.99,10000000000
2021-12-10,2441.87,2441.87,2441.87,2441.87,2441.87,10000000000
2021-12-17,2443.63,2443.63,2443.63,2443.63,2443.63,10000000000
2021-12-24,2456.02,2456.02,2456.02,2456.02,2456.02,10000000000
2021-12-31,2461.43,2461.43,2461.43,2461.43,2461.43,10000000000
2022-01-07,2438.28,2438.28,2438.28,2438.28,2438.28,10000000000
2022-01-14,2440.02,2440.02,2440.02,2440.02,2440.02,10000000000
2022-01-21,2423.52,2423.52,2423.52,2423.52,2423.52,10000000000
2022-01-28,2392.45,2392.45,2392.45,2392.45,2392.45,10000000000
2022-02-04,2385.22,2385.22,2385.22,2385.22,2385.22,10000000000
2022-02-11,2362.24,2362.24,2362.24,2362.24,2362.24,10000000000
2022-02-18,2356.28,2356.28,2356.28,2356.28,2356.28,10000000000
2022-02-25,2365.0,2365.0,2365.0,2365.0,2365.0,10000000000
2022-03-04,2361.17,2361.17,2361.17,2361.17,2361.17,10000000000
2022-03-11,2324.82,2324.82,2324.82,2324.82,2324.82,10000000000
2022-03-18,2336.78,2336.78,2336.78,2336.78,2336.78,10000000000
2022-03-25,2321.72,2321.72,2321.72,2321.72,2321.72,10000000000
2022-04-01,2338.83,2338.83,2338.83,2338.83,2338.83,10000000000
2022-04-08,2307.5,2307.5,2307.5,2307.5,2307.5,10000000000
2022-04-15,2300.16,2300.16,2300.16,2300.16,2300.16,10000000000
2022-04-22,2279.9,2279.9,2279.9,2279.9,2279.9,10000000000
2022-04-29,2259.09,2259.09,2259.09,2259.09,2259.09,10000000000
2022-05-06,2232.26,2232.26,2232.26,2232.26,2232.26,10000000000
2022-05-13,2205.27,2205.27,2205.27,2205.27,2205.27,10000000000
2022-05-20,2190.01,2190.01,2190.01,2190.01,2190.01,10000000000
2022-05-27,2263.18,2263.18,2263.18,2263.18,2263.18,10000000000
2022-06-03,2255.32,2255.32,2255.32,2255.32,2255.32,10000000000
2022-06-10,2202.87,2202.87,2202.87,2202.87,2202.87,10000000000
2022-06-17,2139.02,2139.02,2139.02,2139.02,2139.02,10000000000
2022-06-24,2151.12,2151.12,2151.12,2151.12,2151.12,10000000000
2022-07-01,2116.06,2116.06,2116.06,2116.06,2116.06,10000000000
2022-07-08,2144.2,2144.2,2144.2,2144.2,2144.2,10000000000
2022-07-15,2149.81,2149.81,2149.81,2149.81,2149.81,10000000000
2022-07-22,2203.07,2203.07,2203.07,2203.07,2203.07,10000000000
2022-07-29,2236.84,2236.84,2236.84,2236.84,2236.84,10000000000
2022-08-05,2251.5,2251.5,2251.5,2251.5,2251.5,10000000000
2022-08-12,2272.71,2272.71,2272.71,2272.71,2272.71,10000000000
